Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band	Gene name
12	52585589	52601538	q13.13	KRT72
12	52607570	52618559	q13.13	KRT73
12	52644558	52652164	q13.13	KRT2
12	52674736	52680407	q13.13	KRT1
12	52689626	52703463	q13.13	KRT77
12	52768155	52777345	q13.13	KRT76
12	52789685	52796117	q13.13	KRT3
12	52806549	52814551	q13.13	KRT4
12	52821410	52834295	q13.13	KRT79
12	52837804	52849092	q13.13	KRT78
12	52897187	52949954	q13.13	KRT8
12	52948871	52952901	q13.13	KRT18
12	53006158	53042209	q13.13	EIF4B
12	53046969	53064372	q13.13	TNS2
12	53064316	53079420	q13.13	SPRYD3
12	53097436	53102345	q13.13	IGFBP6
12	53103518	53124538	q13.13	SOAT2
12	53157663	53180909	q13.13	CSAD
12	53180700	53195141	q13.13	ZNF740
12	53191318	53207307	q13.13	ITGB7
12	53210567	53232980	q13.13	RARG
12	53251251	53254405	q13.13	MFSD5
12	53268299	53293643	q13.13	ESPL1
12	53295291	53299450	q13.13	PFDN5
12	53299686	53307177	q13.13	C12orf10
12	53307456	53324864	q13.13	AAAS
12	53326575	53345315	q13.13	SP7
12	53380176	53416446	q13.13	SP1
12	53423855	53431534	q13.13	AMHR2
12	53441605	53446645	q13.13	PRR13
12	53452102	53481162	q13.13	PCBP2
12	53479669	53500063	q13.13	MAP3K12
12	53500921	53506431	q13.13	TARBP2
12	53506690	53507638	q13.13	NPFF
12	53507856	53626410	q13.13	ATF7
12	53632726	53677408	q13.13	ATP5G2
12	53708517	53727745	q13.13	CALCOCO1
12	53938765	53946544	q13.13	HOXC13
12	53954834	53958956	q13.13	HOXC12
12	53973126	53977643	q13.13	HOXC11
12	53985065	53990279	q13.13	HOXC10
12	53990624	54030823	q13.13	HOXC6
12	53994895	54003337	q13.13	HOXC9
12	54009106	54012362	q13.13	HOXC8
12	54016931	54056030	q13.13	HOXC4
12	54032853	54035358	q13.13	HOXC5
12	54121277	54189008	q13.13	SMUG1
12	54230940	54280133	q13.13	CBX5
12	54280193	54287088	q13.13	HNRNPA1
12	54292111	54301121	q13.13	NFE2
12	54301202	54351849	q13.13	COPZ1
12	54362445	54364487	q13.13	GPR84
12	54369133	54391298	q13.13	ZNF385A
12	54395261	54419460	q13.13	ITGA5
12	54455950	54473602	q13.13	GTSF1
12	54497711	54548238	q13.13	NCKAP1L
12	54549350	54579239	q13.2	PDE1B
12	54575387	54588659	q13.2	PPP1R1A
12	54630811	54634895	q13.2	LACRT
12	54644591	54648493	q13.2	DCD
12	54830519	54858393	q13.2	MUCL1
12	54948018	54984746	q13.2	TESPA1
12	55019945	55030014	q13.2	NEUROD4
12	55126406	55132750	q13.2	OR9K2
12	55221025	55221975	q13.2	OR10A7
12	55247198	55248302	q13.2	OR6C74
12	55293988	55296569	q13.2	OR6C6
12	55314343	55322364	q13.2	OR6C1
12	55330043	55332687	q13.2	OR6C3
12	55362975	55369279	q13.2	OR6C75
12	55400430	55401505	q13.2	OR6C65
12	55426254	55427192	q13.2	OR6C76
12	55444069	55453347	q13.2	OR6C2
12	55469200	55470138	q13.2	OR6C70
12	55492378	55493316	q13.2	OR6C68
12	55549602	55555832	q13.2	OR6C4
12	55572468	55575612	q13.2	OR2AP1
12	55636860	55637854	q13.2	OR10P1
12	55681546	55684611	q13.2	METTL7B
12	55684568	55716043	q13.2	ITGA7
12	55716037	55720087	q13.2	BLOC1S1
12	55720367	55724705	q13.2	RDH5
12	55725323	55729707	q13.2	CD63
12	55743280	55757278	q13.2	GDF11
12	55752463	55817756	q13.2	SARNP
12	55817919	55821879	q13.2	ORMDL2
12	55820960	55830824	q13.2	DNAJC14
12	55835433	55842966	q13.2	MMP19
12	55901413	55932618	q13.2	PYM1
12	55927319	55954027	q13.2	DGKA
12	55954105	55973317	q13.2	PMEL
12	55966769	55972784	q13.2	CDK2
12	55973913	55996683	q13.2	RAB5B
12	55997180	56006641	q13.2	SUOX
12	56007659	56038435	q13.2	IKZF4
12	56041853	56044675	q13.2	RPS26
12	56079857	56103505	q13.2	ERBB3
12	56104319	56113907	q13.2	PA2G4
12	56116586	56117943	q13.2	RPL41
12	56118159	56127514	q13.2	ZC3H10
12	56118250	56144671	q13.2	ESYT1
12	56152256	56159647	q13.2	MYL6B
12	56158161	56163496	q13.2	MYL6
12	56162983	56189567	q13.2	SMARCC2
12	56202175	56221933	q13.3	RNF41
12	56222015	56229854	q13.3	NABP2
12	56230049	56237846	q13.3	SLC39A5
12	56237807	56258391	q13.3	ANKRD52
12	56266858	56270966	q13.3	COQ10A
12	56271699	56300392	q13.3	CS
12	56309842	56316336	q13.3	CNPY2
12	56316223	56334053	q13.3	PAN2
12	56334174	56340410	q13.3	IL23A
12	56341597	56360155	q13.3	STAT2
12	56360569	56362823	q13.3	APOF
12	56416373	56449403	q13.3	TIMELESS
12	56449502	56469166	q13.3	MIP
12	56468567	56479707	q13.3	SPRYD4
12	56470944	56488414	q13.3	GLS2
12	56521929	56596196	q13.3	RBMS2
12	56595596	56636816	q13.3	BAZ2A
12	56638175	56646068	q13.3	ATP5B
12	56663341	56688408	q13.3	PTGES3
12	56712428	56731628	q13.3	NACA
12	56731596	56752373	q13.3	PRIM1
12	56752161	56787790	q13.3	HSD17B6
12	56923154	56934405	q13.3	SDR9C7
12	56951431	56959374	q13.3	RDH16
12	56994446	56998441	q13.3	GPR182
12	56998834	57006446	q13.3	ZBTB39
12	57010000	57028883	q13.3	TAC3
12	57028517	57051198	q13.3	MYO1A
12	57055643	57088063	q13.3	NEMP1
12	57088894	57095476	q13.3	NAB2
12	57095408	57132139	q13.3	STAT6
12	57128493	57213351	q13.3	LRP1
12	57216795	57226449	q13.3	NXPH4
12	57229327	57234935	q13.3	SHMT2
12	57234903	57240715	q13.3	NDUFA4L2
12	57243453	57251193	q13.3	STAC3
12	57253762	57431005	q13.3	R3HDM2
12	57434760	57450828	q13.3	INHBC
12	57452323	57459280	q13.3	INHBE
12	57460135	57472262	q13.3	GLI1
12	57472255	57488814	q13.3	ARHGAP9
12	57475445	57517569	q13.3	MARS
12	57516588	57520517	q13.3	DDIT3
12	57520710	57530148	q13.3	MBD6
12	57530102	57547331	q13.3	DCTN2
12	57549998	57586632	q13.3	KIF5A
12	57591174	57603418	q13.3	PIP4K2C
12	57604622	57609804	q13.3	DTX3
12	57610180	57619379	q13.3	ARHGEF25
12	57619527	57626151	q13.3	SLC26A10
12	57623410	57633355	q13.3	B4GALNT1
12	57693955	57721557	q13.3	OS9
12	57723761	57742157	q14.1	AGAP2
12	57738013	57750211	q14.1	TSPAN31
12	57747727	57756013	q14.1	CDK4
12	57755098	57760407	q14.1	MARCH9
12	57762334	57768986	q14.1	CYP27B1
12	57768471	57772793	q14.1	METTL1
12	57771492	57782541	q14.1	EEF1AKMT3
12	57782589	57808071	q14.1	TSFM
12	57797376	57818704	q14.1	AVIL
12	57819927	57846739	q14.1	CTDSP2
12	57941541	57957269	q14.1	ATP23
12	58872149	58920522	q14.1	LRIG3
12	59596067	59789855	q14.1	SLC16A7
12	61708259	62279150	q14.1	FAM19A2
12	62260338	62417431	q14.1	USP15
12	62466817	62600479	q14.1	MON2
12	62643982	62935037	q14.2	PPM1H
12	63142759	63150942	q14.2	AVPR1A
12	63558913	63668939	q14.2	DPY19L2
12	63779803	63809558	q14.2	TMEM5
12	63844293	64162221	q14.2	SRGAP1
12	64186316	64222296	q14.2	C12orf66
12	64264762	64391192	q14.2	C12orf56
12	64404350	64451127	q14.2	XPOT
12	64451880	64502108	q14.2	TBK1
12	64507001	64697567	q14.2	RASSF3
12	64713445	64759447	q14.3	GNS
12	64781193	64881032	q14.3	TBC1D30
12	65050626	65121566	q14.3	WIF1
12	65169571	65248327	q14.3	LEMD3
12	65278643	65488244	q14.3	MSRB3
12	65824131	65966295	q14.3	HMGA2
12	66116555	66130768	q14.3	LLPH
12	66135846	66170072	q14.3	TMBIM4
12	66188879	66254622	q14.3	IRAK3
12	66302545	66347645	q14.3	HELB
12	66347431	66804186	q14.3	GRIP1
12	67269281	67319951	q14.3	CAND1
12	67648338	67665406	q15	DYRK2
12	68154768	68159747	q15	IFNG
12	68201351	68225821	q15	IL26
12	68248242	68253607	q15	IL22
12	68272443	68332381	q15	MDM1
12	68610839	68671901	q15	RAP1B
12	68686734	68745809	q15	NUP107
12	68746106	68793964	q15	SLC35E3
12	68808176	68850686	q15	MDM2
12	68842197	68971570	q15	CPM
12	69239537	69274358	q15	CPSF6
12	69348341	69354234	q15	LYZ
12	69359703	69390796	q15	YEATS4
12	69470349	69579789	q15	FRS2
12	69585334	69601570	q15	CCT2
12	69608564	69611162	q15	LRRC10
12	69643360	69699476	q15	BEST3
12	69738681	69823204	q15	RAB3IP
12	69825304	69959097	q15	MYRFL
12	70242994	70354993	q15	CNOT2
12	70366276	70434292	q15	KCNMB4
12	70515866	70637440	q15	PTPRB
12	70638073	70920843	q15	PTPRR
12	71125085	71441898	q21.1	TSPAN8
12	71439770	71586310	q21.1	LGR5
12	71609472	71667725	q21.1	ZFC3H1
12	71663009	71680639	q21.1	THAP2
12	71686087	71705046	q21.1	TMEM19
12	71754874	71800285	q21.1	RAB21
12	71839707	71927248	q21.1	TBC1D15
12	71938846	72186618	q21.1	TPH2
12	72087266	72670757	q21.1	TRHDE
12	74537827	74545430	q21.1	ATXN7L3B
12	75040077	75209868	q21.1	KCNC2
12	75275979	75390928	q21.2	CAPS2
12	75334639	75370560	q21.2	GLIPR1L1
12	75391070	75432688	q21.2	GLIPR1L2
12	75480680	75503853	q21.2	GLIPR1
12	75490861	75511636	q21.2	KRR1
12	76025447	76033932	q21.2	PHLDA1
12	76036587	76085033	q21.2	NAP1L1
12	76344474	76348442	q21.2	BBS10
12	76351797	76559809	q21.2	OSBPL8
12	76763588	76853696	q21.2	ZDHHC17
12	76858715	76879060	q21.2	CSRP2
12	77021247	77065580	q21.2	E2F7
12	77324641	78213008	q21.2	NAV3
12	78863993	79452008	q21.2	SYT1
12	79574979	79691097	q21.2	PAWR
12	79773563	79935460	q21.31	PPP1R12A
12	80402178	80680234	q21.31	PTPRQ
12	80707498	80709474	q21.31	MYF6
12	80716912	80719673	q21.31	MYF5
12	80792520	80937925	q21.31	LIN7A
12	80936414	81261205	q21.31	ACSS3
12	81257975	81759553	q21.31	PPFIA2
12	82223681	82358805	q21.31	CCDC59
12	82358497	82479236	q21.31	METTL25
12	82686880	83134870	q21.31	TMTC2
12	84859488	84913615	q21.31	SLC6A15
12	85014311	85036277	q21.31	TSPAN19
12	85036314	85263224	q21.31	LRRIQ1
12	85280107	85301784	q21.31	ALX1
12	85800697	85836570	q21.31	RASSF9
12	85874295	85882992	q21.31	NTS
12	85955666	86838904	q21.32	MGAT4C
12	87980035	88034037	q21.32	C12orf50
12	88033846	88050160	q21.32	C12orf29
12	88049014	88142216	q21.32	CEP290
12	88142296	88199887	q21.32	TMTC3
12	88492793	88580851	q21.32	KITLG
12	89347232	89353271	q21.33	DUSP6
12	89419718	89526024	q21.33	POC1B
12	89519408	89524806	q21.33	GALNT4
12	89519408	89526262	q21.33	POC1B-GALNT4
12	89588049	89709300	q21.33	ATP2B1
12	90905622	90955176	q21.33	CCER1
12	90963679	91005026	q21.33	EPYC
12	91050491	91057983	q21.33	KERA
12	91102629	91111831	q21.33	LUM
12	91140484	91183123	q21.33	DCN
12	92140278	92145897	q21.33	BTG1
12	92420094	92428148	q22	CLLU1OS
12	92702843	92708549	q22	C12orf74
12	92721462	92772455	q22	PLEKHG7
12	92770637	92929331	q22	EEA1
12	93377883	93408146	q22	NUDT4
12	93405673	93442262	q22	UBE2N
12	93467488	93516213	q22	MRPL42
12	93569814	93583487	q22	SOCS2
12	93677375	93894840	q22	CRADD
12	94148723	94307675	q22	PLXNC1
12	94306449	94459988	q22	CEP83
12	94567124	94650562	q22	TMCC3
12	94897055	95003770	q22	NDUFA12
12	95020229	95073703	q22	NR2C1
12	95076749	95217482	q22	FGD6
12	95217746	95302790	q22	VEZT
12	95473520	95515839	q22	METAP2
12	95516560	95551490	q22	USP44
12	95657807	95791152	q22	NTN4
12	95858928	95903828	q23.1	SNRPF
12	95867048	95942974	q23.1	CCDC38
12	95943293	95968716	q23.1	AMDHD1
12	95972662	95996365	q23.1	HAL
12	96000828	96043520	q23.1	LTA4H
12	96194382	96269835	q23.1	ELK3
12	96278261	96400560	q23.1	CDK17
12	96489571	96875555	q23.1	CFAP54
12	96907223	96953777	q23.1	NEDD1
12	98515512	98550379	q23.1	TMPO
12	98593591	98606379	q23.1	SLC25A3
12	98613405	98645113	q23.1	IKBIP
12	98645141	98735433	q23.1	APAF1
12	98726457	99984654	q23.1	ANKS1B
12	99647753	99650046	q23.1	FAM71C
12	100028455	100142848	q23.1	UHRF1BP1L
12	100199122	100241865	q23.1	ACTR6
12	100203669	100267079	q23.1	DEPDC4
12	100267140	100341724	q23.1	SCYL2
12	100357079	100422059	q23.1	SLC17A8
12	100473708	100564413	q23.1	NR1H4
12	100573683	100628286	q23.1	GAS2L3
12	100717526	101128641	q23.1	ANO4
12	101155493	101210407	q23.2	SLC5A8
12	101280109	101386616	q23.2	UTP20
12	101393120	101407820	q23.2	ARL1
12	101475421	101486997	q23.2	SPIC
12	101568353	101686018	q23.2	MYBPC1
12	101696947	101744140	q23.2	CHPT1
12	101728648	101739472	q23.2	SYCP3
12	101745497	101830938	q23.2	GNPTAB
12	101877351	102012130	q23.2	DRAM1
12	102012927	102062149	q23.2	WASHC3
12	102073103	102120124	q23.2	NUP37
12	102120185	102197520	q23.2	PARPBP
12	102196459	102197845	q23.2	PMCH
12	102395867	102480645	q23.2	IGF1
12	102836885	102958410	q23.2	PAH
12	102957686	102960516	q23.2	ASCL1
12	103237591	103496010	q23.2	C12orf42
12	103587273	103766727	q23.3	STAB2
12	103770453	103841197	q23.3	NT5DC3
12	103930107	103953645	q23.3	HSP90B1
12	103950202	103965708	q23.3	C12orf73
12	103965804	103988874	q23.3	TDG
12	103988984	104064183	q23.3	GLT8D2
12	104064457	104106524	q23.3	HCFC2
12	104117077	104138289	q23.3	NFYB
12	104215779	104350305	q23.3	TXNRD1
12	104303739	104305205	q23.3	EID3
12	104455295	104762014	q23.3	CHST11
12	104802553	104958744	q23.3	SLC41A2
12	104986310	105074197	q23.3	C12orf45
12	105019784	105084577	q23.3	ALDH1L2
12	105107324	105169134	q23.3	WASHC4
12	105173296	105236238	q23.3	APPL2
12	105235290	105396097	q23.3	C12orf75
12	106063340	106140033	q23.3	NUAK1
12	106237877	106304279	q23.3	CKAP4
12	106301929	106347015	q23.3	TCP11L2
12	106357658	106510198	q23.3	POLR3B
12	106582907	106762803	q23.3	RFX4
12	106774595	106889316	q23.3	RIC8B
12	106955719	106978778	q23.3	TMEM263
12	106977291	106987166	q23.3	MTERF2
12	106991364	107093829	q23.3	CRY1
12	107318413	107659642	q23.3	BTBD11
12	107685732	107713167	q23.3	PWP1
12	107732866	107761272	q23.3	PRDM4
12	107774385	107776644	q23.3	ASCL4
12	108129471	108250537	q23.3	WSCD2
12	108288044	108339341	q23.3	CMKLR1
12	108515185	108525837	q23.3	FICD
12	108522580	108561400	q23.3	SART3
12	108562582	108569384	q23.3	ISCU
12	108589846	108598320	q23.3	TMEM119
12	108622277	108633959	q24.11	SELPLG
12	108645109	108731596	q24.11	CORO1C
12	108778192	108857590	q24.11	SSH1
12	108858932	108901043	q24.11	DAO
12	108907741	109021240	q24.11	SVOP
12	109023089	109088026	q24.11	USP30
12	109088188	109093631	q24.11	ALKBH2
12	109097574	109110992	q24.11	UNG
12	109116595	109268226	q24.11	ACACB
12	109277979	109309220	q24.11	FOXN4
12	109347903	109455523	q24.11	MYO1H
12	109448656	109477544	q24.11	KCTD10
12	109477402	109536705	q24.11	UBE3B
12	109553737	109573874	q24.11	MMAB
12	109573255	109598117	q24.11	MVK
12	109714228	109770507	q24.11	FAM222A
12	109783085	109833401	q24.11	TRPV4
12	109850943	109880488	q24.11	GLTP
12	109900264	109983841	q24.11	TCHP
12	109929792	109996389	q24.11	GIT2
12	109999186	110039763	q24.11	ANKRD13A
12	110027028	110073686	q24.11	C12orf76
12	110124335	110218797	q24.11	IFT81
12	110280756	110351093	q24.11	ATP2A2
12	110372900	110403730	q24.11	ANAPC7
12	110434825	110450422	q24.11	ARPC3
12	110452484	110469268	q24.11	GPN3
12	110468364	110490385	q24.11	FAM216A
12	110491097	110502117	q24.11	VPS29
12	110501655	110532086	q24.11	RAD9B
12	110533245	110583320	q24.11	PPTC7
12	110614027	110649430	q24.11	TCTN1
12	110627841	110704950	q24.11	HVCN1
12	110719680	110742939	q24.11	PPP1CC
12	110846769	110907535	q24.11	CCDC63
12	110910819	110920722	q24.11	MYL2
12	111034024	111350554	q24.11	CUX2
12	111360651	111369121	q24.12	FAM109A
12	111405948	111451623	q24.12	SH2B3
12	111452214	111599676	q24.12	ATXN2
12	111642146	111685986	q24.12	BRAP
12	111686056	111757107	q24.12	ACAD10
12	111766887	111817529	q24.12	ALDH2
12	111841978	111902238	q24.12	MAPKAPK5
12	111931282	112013185	q24.13	TMEM116
12	112013316	112023451	q24.13	ERP29
12	112026689	112109022	q24.13	NAA25
12	112125501	112153609	q24.13	TRAFD1
12	112405190	112418838	q24.13	RPL6
12	112418351	112509913	q24.13	PTPN11
12	112570380	112898881	q24.13	RPH3A
12	112906777	112933222	q24.13	OAS1
12	112938352	112973249	q24.13	OAS3
12	112978395	113011723	q24.13	OAS2
12	113056709	113098028	q24.13	DTX1
12	113098819	113136239	q24.13	RASAL1
12	113149858	113159276	q24.13	CFAP73
12	113157174	113185479	q24.13	DDX54
12	113185526	113192368	q24.13	RITA1
12	113195441	113221094	q24.13	IQCD
12	113221050	113298585	q24.13	TPCN1
12	113298759	113359493	q24.13	SLC8B1
12	113358566	113391625	q24.13	PLBD2
12	113392445	113426301	q24.13	SDS
12	113422237	113438276	q24.13	SDSL
12	113462034	113472280	q24.13	LHX5
12	113816738	113966371	q24.21	RBM19
12	114353931	114408442	q24.21	TBX5
12	114670254	114684164	q24.21	TBX3
12	115953872	116277338	q24.21	MED13L
12	116548105	116576448	q24.22	MAP1LC3B2
12	116710185	116738070	q24.22	C12orf49
12	116738178	116853631	q24.22	RNFT2
12	116856144	116881441	q24.22	HRK
12	116910956	117031148	q24.22	FBXW8
12	117038923	117099479	q24.22	TESC
12	117141988	117190531	q24.22	FBXO21
12	117208142	117452170	q24.22	NOS1
12	117453012	117968983	q24.23	KSR2
12	118013588	118033130	q24.23	RFC5
12	118032694	118062430	q24.23	WSB2
12	118063593	118136026	q24.23	VSIG10
12	118135858	118145584	q24.23	PEBP1
12	118149801	118372945	q24.23	TAOK3
12	118376380	118418031	q24.23	SUDS3
12	118981495	119163051	q24.23	SRRM4
12	119178642	119221131	q24.23	HSPB8
12	119334712	119541047	q24.23	CCDC60
12	119593459	119643066	q24.23	TMEM233
12	119667753	119681630	q24.23	PRKAB1
12	119685790	119877291	q24.23	CIT
12	119989869	120094494	q24.23	BICDL1
12	120095095	120117502	q24.23	RAB35
12	120127203	120194710	q24.23	GCN1
12	120196686	120201235	q24.23	RPLP0
12	120210439	120265771	q24.23	PXN
12	120302316	120313249	q24.31	SIRT4
12	120322111	120327789	q24.31	PLA2G1B
12	120341330	120369180	q24.31	MSI1
12	120438090	120440742	q24.31	COX6A1
12	120443961	120446412	q24.31	TRIAP1
12	120446438	120463749	q24.31	GATC
12	120461668	120469793	q24.31	SRSF9
12	120469850	120498493	q24.31	DYNLL1
12	120503274	120534434	q24.31	COQ5
12	120533480	120577594	q24.31	RNF10
12	120578764	120581398	q24.31	POP5
12	120640552	120667324	q24.31	CABP1
12	120686869	120701864	q24.31	MLEC
12	120710435	120723640	q24.31	UNC119B
12	120725735	120740008	q24.31	ACADS
12	120762510	120904371	q24.31	SPPL3
12	120978543	121002512	q24.31	HNF1A
12	121000486	121016502	q24.31	C12orf43
12	121019111	121039242	q24.31	OASL
12	121132819	121188032	q24.31	P2RX7
12	121209857	121234106	q24.31	P2RX4
12	121237691	121298308	q24.31	CAMKK2
12	121308245	121399896	q24.31	ANAPC5
12	121400041	121430623	q24.31	RNF34
12	121429097	121581015	q24.31	KDM2B
12	121648742	121672631	q24.31	MORN3
12	121712752	121783001	q24.31	TMEM120B
12	121777754	121803403	q24.31	RHOF
12	121804180	121832584	q24.31	SETD1B
12	121839527	121863596	q24.31	HPD
12	121888731	121918297	q24.31	PSMD9
12	121917862	122003927	q24.31	WDR66
12	122019422	122062044	q24.31	BCL7A
12	122078722	122147347	q24.31	MLXIP
12	122167738	122203471	q24.31	LRRC43
12	122172030	122174199	q24.31	IL31
12	122203543	122208952	q24.31	B3GNT4
12	122207662	122227534	q24.31	DIABLO
12	122229564	122266521	q24.31	VPS33A
12	122271432	122422632	q24.31	CLIP1
12	122503458	122527000	q24.31	RSRC2
12	122527246	122626396	q24.31	KNTC1
12	122701293	122703343	q24.31	HCAR2
12	122714756	122716892	q24.31	HCAR3
12	122726076	122730843	q24.31	HCAR1
12	122752774	122771064	q24.31	DENR
12	122774327	122827528	q24.31	CCDC62
12	122834453	122862960	q24.31	HIP1R
12	122865328	122896444	q24.31	VPS37B
12	122920951	122981649	q24.31	ABCB9
12	122974580	122980043	q24.31	OGFOD2
12	122980060	122982913	q24.31	ARL6IP4
12	122983480	123150015	q24.31	PITPNM2
12	123152320	123244014	q24.31	MPHOSPH9
12	123232916	123257959	q24.31	C12orf65
12	123260971	123272334	q24.31	CDK2AP1
12	123289109	123364843	q24.31	SBNO1
12	123383773	123409358	q24.31	KMT5A
12	123410683	123436717	q24.31	RILPL2
12	123457641	123473154	q24.31	SNRNP35
12	123470054	123533718	q24.31	RILPL1
12	123584531	123598577	q24.31	TMED2
12	123602077	123620941	q24.31	DDX55
12	123620406	123633766	q24.31	EIF2B1
12	123633739	123662606	q24.31	GTF2H3
12	123671113	123708403	q24.31	TCTN2
12	123712318	123761755	q24.31	ATP6V0A2
12	123762188	123936206	q24.31	DNAH10
12	123918660	123972831	q24.31	CCDC92
12	123971845	124015439	q24.31	ZNF664
12	123973241	124316024	q24.31	RFLNA
12	124324415	124567589	q24.31	NCOR2
12	124776856	124882668	q24.31	SCARB1
12	124911604	124917368	q24.31	UBC
12	124946825	124989122	q24.31	DHX37
12	124993700	125031231	q24.31	BRI3BP
12	125065379	125143333	q24.31	AACS
12	125186836	125662377	q24.31	TMEM132B
12	128267403	128707915	q24.32	TMEM132C
12	128793191	128823983	q24.33	SLC15A4
12	128853427	128984968	q24.33	GLT1D1
12	129071725	129903666	q24.33	TMEM132D
12	130162459	130165740	q24.33	FZD10
12	130337887	130372637	q24.33	PIWIL1
12	130396137	130517917	q24.33	RIMBP2
12	130789600	130839266	q24.33	STX2
12	130871879	130877678	q24.33	RAN
12	130953907	131141469	q24.33	ADGRD1
12	131711081	131799737	q24.33	SFSWAP
12	131828393	131851783	q24.33	MMP17
12	131894651	131923167	q24.33	ULK1
12	131929200	131945896	q24.33	PUS1
12	131949920	132081102	q24.33	EP400
12	132136594	132144335	q24.33	DDX51
12	132144448	132152473	q24.33	NOC4L
12	132196372	132329349	q24.33	GALNT9
12	132489551	132585188	q24.33	FBRSL1
12	132603150	132610543	q24.33	LRCOL1
12	132618780	132622386	q24.33	P2RX2
12	132623753	132687365	q24.33	POLE
12	132687606	132704991	q24.33	PXMP2
12	132710819	132722734	q24.33	PGAM5
12	132725503	132761888	q24.33	ANKLE2
12	132768909	132828858	q24.33	GOLGA3
12	132822187	132956304	q24.33	CHFR
12	132918308	132956306	q24.33	ZNF605
12	132986365	133032952	q24.33	ZNF26
12	133037292	133063304	q24.33	ZNF84
12	133079838	133107544	q24.33	ZNF140
12	133106817	133130473	q24.33	ZNF891
12	133130575	133159465	q24.33	ZNF10
12	133181409	133214831	q24.33	ZNF268
12	133218312	133236095	q24.33	ANHX
13	19173770	19181852	q12.11	TUBA3C
13	19422877	19536762	q12.11	TPTE2
13	19633681	19673459	q12.11	MPHOSPH8
13	19674752	19783019	q12.11	PSPC1
13	19823482	19863636	q12.11	ZMYM5
13	19958670	20091829	q12.11	ZMYM2
13	20138255	20161049	q12.11	GJA3
13	20187470	20192898	q12.11	GJB2
13	20221971	20232395	q12.11	GJB6
13	20403667	20525857	q12.11	CRYL1
13	20567069	20691437	q12.11	IFT88
13	20702127	20723098	q12.11	IL17D
13	20728731	20773958	q12.11	EEF1AKMT1
13	20777329	20903048	q12.11	XPO4
13	20973032	21061547	q12.11	LATS2
13	21140514	21149084	q12.11	SAP18
13	21153595	21176602	q12.11	SKA3
13	21176645	21179084	q12.11	MRPL57
13	21372573	21459370	q12.11	ZDHHC20
13	21492691	21604214	q12.11	MICU2
13	21671383	21704498	q12.11	FGF9
13	23180952	23325165	q12.12	SGCG
13	23328826	23411513	q12.12	SACS
13	23570370	23676104	q12.12	TNFRSF19
13	23730189	23889419	q12.12	MIPEP
13	23890525	23902655	q12.12	C1QTNF9B
13	23979805	24307074	q12.12	SPATA13
13	24307166	24322535	q12.12	C1QTNF9
13	24420926	24512810	q12.12	PARP4
13	24680411	24712493	q12.12	ATP12A
13	24764152	24879921	q12.12	RNF17
13	24882284	24922889	q12.13	CENPJ
13	25095868	25099254	q12.13	PABPC3
13	25161684	25172288	q12.13	AMER2
13	25246201	25288009	q12.13	MTMR6
13	25301524	25349800	q12.13	NUP58
13	25372071	26025851	q12.13	ATP8A2
13	26044597	26051031	q12.13	SHISA2
13	26132115	26222493	q12.13	RNF6
13	26254104	26405238	q12.13	CDK8
13	26557703	26688948	q12.13	WASF3
13	26755200	26760785	q12.13	GPR12
13	27066142	27171896	q12.13	USP12
13	27251309	27256691	q12.2	RPL21
13	27270327	27273690	q12.2	RASL11A
13	27424544	27435823	q12.2	GTF3A
13	27435643	27450591	q12.2	MTIF3
13	27545911	27620404	q12.2	LNX2
13	27620742	27744237	q12.2	POLR1D
13	27792643	27794768	q12.2	GSX1
13	27920020	27926231	q12.2	PDX1
13	27962137	27971139	q12.2	CDX2
13	27977714	27988654	q12.2	URAD
13	28003274	28100592	q12.2	FLT3
13	28138506	28295335	q12.2	PAN3
13	28300344	28495145	q12.3	FLT1
13	28659104	28678925	q12.3	POMP
13	28700064	28718970	q12.3	SLC46A3
13	28820348	29505947	q12.3	MTUS2
13	29509410	29595688	q12.3	SLC7A1
13	29764371	29850684	q12.3	UBL3
13	30202630	30307484	q12.3	KATNAL1
13	30456704	30617597	q12.3	HMGB1
13	30617693	30660770	q12.3	USPL1
13	30713478	30764426	q12.3	ALOX5AP
13	30906191	30925572	q12.3	MEDAG
13	30932703	30975502	q12.3	TEX26
13	31134974	31162388	q12.3	HSPH1
13	31199936	31332276	q12.3	B3GLCT
13	31739542	31803388	q13.1	RXFP2
13	32031300	32299122	q13.1	FRY
13	32303700	32315344	q13.1	ZAR1L
13	32315474	32400266	q13.1	BRCA2
13	32400723	32428311	q13.1	N4BP2L1
13	32432417	32538885	q13.1	N4BP2L2
13	32586427	32778019	q13.1	PDS5B
13	33016433	33066145	q13.1	KL
13	33103135	33350630	q13.1	STARD13
13	33818049	33966558	q13.2	RFC3
13	34942287	35673022	q13.3	NBEA
13	35474182	35477209	q13.3	MAB21L1
13	35768652	36131306	q13.3	DCLK1
13	36168208	36214615	q13.3	SOHLH2
13	36168794	36297842	q13.3	CCDC169-SOHLH2
13	36222008	36297840	q13.3	CCDC169
13	36301638	36370180	q13.3	SPART
13	36431520	36442882	q13.3	CCNA1
13	36673912	36697839	q13.3	SERTM1
13	36819224	36829104	q13.3	RFXAP
13	36844831	36920765	q13.3	SMAD9
13	36949775	37000261	q13.3	ALG5
13	36998816	37009613	q13.3	EXOSC8
13	37009312	37059713	q13.3	SUPT20H
